name,id,income_rs_crore,expenditure_rs_crore,net_profit_rs_crore,value_rs_crore
"State Trading Corporation of India Ltd",2300,"21,478.56","21,214.19",56.44,21478.5600
"Indian Potash Ltd",13153,"21,473.33","20,309.25",375.76,21473.3300
"Rajesh Exports Ltd",13051,"20,828.22","20,390.77",247.99,20828.2200
"Hindustan Unilever Ltd",255,"20,498.40","17,340.32","2,305.97",20498.4000
"Hyundai Motor India Ltd",16486,"20,311.78","18,345.82",794.28,20311.7800
"Hero MotoCorp Ltd",237,"19,711.61","16,888.67","1,927.90",19711.6100
"Idea Cellular Ltd",23040,"19,357.42","15,051.66",576.54,19357.4200
"Hindustan Aeronautics Ltd",12030,"18,744.94","15,729.34","2,114.26",18744.9400
"Piramal Healthcare Ltd",412,"18,423.43","1,698.85","12,896.91",18423.4300
"Bajaj Auto Ltd",28074,"17,883.05","13,410.77","3,339.73",17883.0500
"Riddisiddhi Bullions Ltd",25126,"17,407.91","17,397.98",6.03,17407.9100
"Housing Development Finance Corporation Ltd",230,"17,354.28","11,668.12","4,122.62",17354.2800
"Sterlite Industries (India) Ltd",1047,"17,215.09","14,910.86","1,419.71",17215.0900
"Ruchi Soya Industries Ltd",704,"17,199.03","16,498.69",213.21,17199.0300
"IBP Co. Ltd(merged)",665,"15,759.84","15,684.00",12.44,15759.8400
"IBM India Pvt Ltd",15473,"15,413.30","13,165.50","1,291.00",15413.3000
"Essar Steel Ltd",1060,"14,302.70","12,570.00",-166.27,14302.7000
"South Eastern Coalfields Ltd",14705,"14,065.10","9,894.19","2,300.83",14065.1000
"Jaiprakash Associates Ltd",15293,"13,969.37","10,103.84","1,167.78",13969.3700
"UltraTech Cement Ltd",24951,"13,558.42","10,731.11","1,404.23",13558.4200
"Kochi Refineries Ltd(merged)",1126,"13,472.67","12,127.72",842.12,13472.6700
"Reliance Communications Ltd",27206,"13,288.93","11,707.88",-757.99,13288.9300
"Jet Airways (India) Ltd",5586,"12,999.21","11,135.94",9.69,12999.2100
"Oil India Ltd",5452,"12,854.07","8,349.45","2,887.73",12854.0700
"Hindustan Zinc Ltd",2307,"12,853.70","5,284.54","5,526.04",12853.7000
"Videocon Industries Ltd",3266,"12,770.57","10,344.50",545.56,12770.5700
"NMDC Ltd",12059,"12,687.81","2,839.12","6,499.22",12687.8100
"Siemens Ltd",514,"12,279.10","10,825.50",845.42,12279.1000
"Samsung India Electronics Ltd",13518,"11,848.41","11,095.09",402.20,11848.4100
"Ashok Leyland Ltd",31,"11,582.11","10,323.96",631.30,11582.1100
"Rashtriya Ispat Nigam Ltd",12212,"11,534.06","10,119.41",658.49,11534.0600
"Indian Petrochemicals Corporation Ltd(merged)",2333,"11,419.59","9,129.12","1,163.75",11419.5900
"PEC Ltd",22221,"11,260.31","11,152.97",70.92,11260.3100
"HCL Infosystems Ltd",1019,"10,793.34","10,436.31",177.23,10793.3400
"LG Electronics India Pvt Ltd",18787,"10,691.10","10,084.50",347.40,10691.1000
"MRF Ltd",391,"10,477.82","9,243.52",619.42,10477.8200
"Mahanadi Coalfields Ltd",5575,"10,394.34","6,138.03","2,609.32",10394.3400
"Reliance Infrastructure Ltd",88,"10,288.59","8,597.83","1,080.91",10288.5900
"Jindal Steel & Power Ltd",20287,"10,178.98","6,255.05","2,064.12",10178.9800
"Power Finance Corporation Ltd",12068,"10,161.99","6,612.80","2,619.58",10161.9900
"Northern Coalfields Ltd",15192,"10,017.01","5,687.42","2,445.45",10017.0100
"Singareni Collieries Company Ltd",13397,"9,969.76","9,045.10",351.37,9969.7600
"ACC Ltd",6,"9,946.59","7,833.96","1,325.26",9946.5900
"Gujarat Co-operative Milk Marketing Federation Ltd",12121,"9,693.16","9,629.73",27.40,9693.1600
"Air India Ltd(merged)",12055,"9,627.80","9,531.05",-447.93,9627.8000
"M D Overseas Ltd",25169,"9,460.56","9,416.24",12.03,9460.5600
"ICICI Ltd (Merged)",664,"9,298.05","8,323.31",537.27,9298.0500
"Power Grid Corporation of India Ltd",5455,"9,263.07","1,505.02","2,696.89",9263.0700
"Tamilnadu State Marketing Corporation Ltd",16138,"9,211.75","9,200.18",-1.16,9211.7500
"Cognizant Technology Solutions India Pvt Ltd",13586,"9,119.07","6,473.58","2,196.19",9119.0700
"Andhra Pradesh Power Generation Corporation Ltd",18593,"9,096.39","6,240.37",313.22,9096.3900
"PTC India Ltd",20076,"9,060.32","8,856.37",138.52,9060.3200
"Central Coalfields Ltd",12502,"9,053.92","6,977.67","1,246.83",9053.9200
"Ambuja Cements Ltd",218,"8,776.34","6,575.69","1,228.86",8776.3400
"JSW ISPAT Steel Ltd",413,"8,749.25","9,280.44","-1,805.88",8749.2500
"Bosch Ltd",378,"8,689.51","6,857.25","1,122.56",8689.5100
"Asian Paints Ltd",34,"8,591.88","7,098.15",958.39,8591.8800
"Tata Teleservices Ltd",14773,"8,530.21","9,075.81","-3,508.05",8530.2100
"Rural Electrification Corporation Ltd",18075,"8,495.26","5,015.60","2,569.93",8495.2600
"Redington India Ltd",12586,"8,485.59","8,235.67",128.44,8485.5900
"Bharat Coking Coal Ltd",12380,"8,428.04","7,113.32","1,093.69",8428.0400
"Numaligarh Refinery Ltd",12397,"8,356.22","7,742.62",279.26,8356.2200
"Securities Trading Corporation Of India Ltd",13428,"8,267.87","8,210.61",40.27,8267.8700
"Hewlett-Packard India Sales Pvt Ltd",12664,"8,198.29","7,930.42",156.72,8198.2900
"Ranbaxy Laboratories Ltd",469,"8,173.36","10,344.39","-3,052.05",8173.3600
"Coromandel International Ltd",123,"8,008.41","6,873.99",694.46,8008.4100
"Gujarat State Electricity Corporation Ltd",18277,"7,841.06","6,653.13",143.54,7841.0600
"Western Coalfields Ltd",14170,"7,751.04","6,502.40",538.30,7751.0400
"Nestle India Ltd",175,"7,593.95","6,043.63",961.55,7593.9500
"Eastern Coalfields Ltd",12328,"7,592.28","7,213.46",106.57,7592.2800
"ABB Ltd",242,"7,549.68","7,156.01",184.54,7549.6800
"Bhushan Steel Ltd",3169,"7,541.72","5,441.80","1,005.09",7541.7200
"Tata Power Company Ltd",554,"7,470.66","5,386.68",941.49,7470.6600
"Sesa Goa Ltd",502,"7,363.22","4,438.43","1,679.94",7363.2200
"Haldia Petrochemicals Ltd",12020,"7,259.30","5,843.32",581.29,7259.3000
"Punjab State Electricity Board",18469,"7,255.92","5,228.78","-3,833.58",7255.9200
"Titan Industries Ltd",1016,"7,218.10","6,576.41",430.42,7218.1000
"Jindal Stainless Ltd",24610,"7,197.31","6,005.07",318.34,7197.3100
"Haryana Power Generation Corporation Ltd",23638,"7,133.06","6,469.35",1.72,7133.0600
"HCL Technologies Ltd",5656,"7,070.23","5,387.59","1,198.28",7070.2300
"Torrent Power Ltd",18488,"6,927.26","4,767.29","1,065.72",6927.2600
"Nuclear Power Corporation",12177,"6,897.51","3,682.30","1,376.33",6897.5100
"Southern Power Distribution Company of AP Ltd",4133,"6,798.64","6,045.94",-1.29,6798.6400
"United Spirits Ltd",8036,"6,779.57","5,706.68",385.47,6779.5700
"BSES Rajdhani Power Ltd",26520,"6,753.09","5,705.70",388.07,6753.0900
"Reliance Infratel Ltd",27791,"6,697.28","3,222.84",905.58,6697.2800
"Aditya Birla Nuvo Ltd",285,"6,665.82","5,695.71",379.69,6665.8200
"Alok Industries Ltd",3118,"6,652.07","4,861.07",404.36,6652.0700
"Cipla Ltd",114,"6,559.62","5,168.50",960.39,6559.6200
"Welspun Corp Ltd",7947,"6,552.60","5,684.77",364.45,6552.6000
"TVS Motor Company Ltd",8029,"6,465.85","6,040.21",194.58,6465.8500
"Kingfisher Airlines Ltd",27271,"6,457.53","6,462.36","-1,027.40",6457.5300
"Tata Chemicals Ltd",552,"6,450.96","5,486.31",408.49,6450.9600
"Adani Wilmar Ltd",20696,"6,426.92","6,312.35",15.71,6426.9200
"National Aluminium Company Ltd",2304,"6,402.02","4,345.80","1,069.30",6402.0200
"Bongaigaon Refinery & Petrochemicals Ltd(merged)",2324,"6,270.38","5,781.23",294.30,6270.3800
"IDFC Ltd",22265,"6,196.01","3,963.37","1,602.96",6196.0100
"Crompton Greaves Ltd",125,"6,167.25","5,138.86",694.33,6167.2500
"Cargill India Private Ltd",17157,"6,140.69","5,955.62",106.31,6140.6900
"T V Sundram Iyengar & Sons Ltd",24169,"5,944.68","5,713.07",137.31,5944.6800
"Lanco Infratech Ltd",21953,"5,915.18","5,085.06",278.32,5915.1800
"Apollo Tyres Ltd",23,"5,894.26","5,324.71",198.25,5894.2600
"Shriram Transport Finance Company Ltd",1745,"5,893.88","3,999.51","1,257.45",5893.8800
"Kesoram Industries Ltd",329,"5,890.94","5,893.64",-379.74,5890.9400
"National Fertilizer Ltd",12061,"5,878.43","5,573.03",138.50,5878.4300
"Godrej & Boyce Manufacturing Company Ltd",13332,"5,876.17","5,260.40",398.98,5876.1700
"Gammon India Ltd",186,"5,872.53","5,335.28",118.45,5872.5300
"Bharat Electronics Ltd",2298,"5,872.24","4,584.55",861.47,5872.2400
"ONGC Videsh Ltd",5420,"5,871.21","2,025.25","2,142.46",5871.2100
"Zuari Industries Ltd",621,"5,818.20","5,519.09",166.88,5818.2000
"Indian Airlines Ltd",12009,"5,814.36","5,414.79",49.50,5814.3600
"Shree Renuka Sugars Ltd",23875,"5,814.06","5,089.65",410.05,5814.0600
"Toyota Kirloskar Motor Ltd",19403,"5,790.11","5,180.02",309.30,5790.1100
"NHPC Ltd",12584,"5,771.81","1,481.18","2,166.67",5771.8100
"IVRCL Ltd",5954,"5,738.62","5,167.51",157.90,5738.6200
"K S Oils Ltd",3226,"5,699.78","5,632.07",-354.96,5699.7800
"Rashtriya Chemicals & Fertilizers Ltd",2297,"5,647.44","5,114.03",245.12,5647.4400
"Ford India Pvt Ltd",13036,"5,610.54","5,389.44",-107.49,5610.5400
"Coal India Ltd",12019,"5,557.23",607.93,"4,696.10",5557.2300
"Bhushan Power & Steel Ltd",22735,"5,528.39","4,124.74",437.86,5528.3900
"Dr Reddys Laboratories Ltd",815,"5,503.10","4,193.40",893.40,5503.1000
"Exide Industries Ltd",111,"5,417.07","4,384.78",666.36,5417.0700
"Voltas Ltd",597,"5,389.47","4,837.67",353.54,5389.4700
"Surana Corporation Ltd",5600,"5,364.20","5,237.70",58.22,5364.2000
"Uttam Galva Steels Ltd",1057,"5,335.99","4,890.86",76.77,5335.9900
"NCC Ltd",2598,"5,267.54","4,676.53",163.45,5267.5400
"Airports Authority of India",17532,"5,139.21","2,888.41",846.39,5139.2100
"JSW Energy Ltd",27323,"5,130.44","3,953.81",234.64,5130.4400
"Gitanjali Gems Ltd",24057,"5,114.85","4,760.46",224.60,5114.8500
"Tech Mahindra Ltd",17215,"5,080.70","4,036.50",696.70,5080.7000
"Satyam Computer Services Ltd",2567,"5,066.00","4,980.80",-127.60,5066.0000
"Handicrafts & Handlooms Exports Corp Of India Ltd",15841,"5,025.81","5,023.93",0.92,5025.8100
"JK Tyre & Industries Ltd",304,"5,001.12","4,720.28",61.32,5001.1200
"Neyveli Lignite Corporation Ltd",2303,"4,974.97","2,715.33","1,298.33",4974.9700
"Grasim Industries Ltd",227,"4,960.47","3,143.89","1,181.71",4960.4700
"Thermax Ltd",4767,"4,941.03","4,313.58",382.42,4941.0300
"Gujarat State Petroleum Corporation Ltd",15853,"4,924.34","4,349.20",322.95,4924.3400
"Suzlon Energy Ltd",13872,"4,921.75","4,396.45",-185.66,4921.7500
"Jodhpur Vidyut Vitran Nigam Ltd",23581,"4,897.18","4,226.38",55.91,4897.1800
"LIC Housing Finance Ltd",4248,"4,868.95","3,568.55",974.49,4868.9500
"Chambal Fertilisers & Chemicals Ltd",3029,"4,866.21","4,047.68",325.18,4866.2100
"Mother Dairy Fruit & Vegetables Ltd",25590,"4,862.60","4,773.85",0.86,4862.6000
"Century Textiles & Industries Ltd",107,"4,860.98","4,159.91",237.49,4860.9800
"Tata Sons Ltd",12323,"4,857.91","1,433.15","3,246.90",4857.9100
"Vodafone Cellular Ltd",25940,"4,853.07","3,824.50",-288.22,4853.0700
"Pantaloon Retail (India) Ltd",2467,"4,840.96","4,385.83",76.67,4840.9600
"Gujarat State Fertilizers & Chemicals Ltd",226,"4,833.47","3,555.53",749.37,4833.4700
"Simplex Infrastructures Ltd",2897,"4,792.71","4,361.28",123.24,4792.7100
"BGR Energy Systems Ltd",14871,"4,772.66","4,163.15",324.21,4772.6600
"Bennett, Coleman & Company Ltd",12324,"4,749.31","3,026.86",968.74,4749.3100
"K E C International Ltd",27273,"4,707.77","4,233.10",181.84,4707.7700
"Dakshin Haryana Bijli Vitran Nigam Ltd",25157,"4,634.29","4,622.79",-265.69,4634.2900
"Gokul Refoils and Solvent Ltd",27039,"4,565.64","4,391.10",61.98,4565.6400
"Prism Cement Ltd",4727,"4,543.19","4,271.70",-30.01,4543.1900
"Lupin Ltd",3026,"4,511.97","3,536.37",809.98,4511.9700
"Punj Lloyd Ltd",12220,"4,476.26","3,908.74",12.38,4476.2600
"Su-Raj Diamonds & Jewellery Ltd",976,"4,345.24","4,156.86",111.66,4345.2400
"Housing Development & Infrastructure Ltd",27828,"4,337.94","2,698.77",897.36,4337.9400
"Aurobindo Pharma Ltd",4666,"4,326.51","3,341.00",593.80,4326.5100
"DCM Shriram Consolidated Ltd",2337,"4,317.61","4,147.12",-30.66,4317.6100
"Britannia Industries Ltd",93,"4,290.42","4,007.68",145.29,4290.4200
"Jindal Saw Ltd",965,"4,269.79","3,376.96",464.07,4269.7900
"Tata Power Delhi Distribution Ltd",25353,"4,250.44","3,626.66",258.18,4250.4400
"Bajaj Hindusthan Ltd",249,"4,178.36","3,187.51",12.00,4178.3600
"Honda Siel Cars India Ltd",14057,"4,171.92","3,956.93",-212.84,4171.9200
"Cummins India Ltd",337,"4,171.16","3,330.25",590.99,4171.1600
"Balrampur Chini Mills Ltd",2208,"4,169.09","3,627.46",164.41,4169.0900
"CESC Ltd",99,"4,163.49","2,950.19",488.40,4163.4900
"DLF Ltd",6890,"4,159.99","1,187.08","1,269.58",4159.9900
"Alstom T&D India Ltd",159,"4,159.77","3,669.53",186.74,4159.7700
"Pepsico India Holdings Pvt Ltd",13840,"4,155.15","3,908.34",-0.56,4155.1500
"Hindustan Construction Company Ltd",245,"4,111.06","3,724.28",-222.25,4111.0600
"Era Infra Engineering Ltd",4926,"4,092.61","3,332.59",246.83,4092.6100
"Lloyds Steel Industries Ltd",820,"4,048.70","3,856.99",-73.46,4048.7000
"Vodafone Digilink Ltd",12519,"4,039.65","3,549.45",-392.47,4039.6500
"Container Corporation Of India Ltd",12607,"4,030.19","2,826.38",875.95,4030.1900
"Parle Biscuits Pvt Ltd",28443,"4,004.59","3,886.85",118.63,4004.5900
"Mahanagar Telephone Nigam Ltd",2293,"3,993.56","4,904.84","-2,801.92",3993.5600
"Tractors & Farm Equipment Ltd",15962,"3,992.95","3,344.12",431.05,3992.9500
"Jain Irrigation Systems Ltd",1127,"3,907.54","3,160.27",295.26,3907.5400
"Krishak Bharati Co-operative Ltd",12135,"3,904.36","3,624.38",200.55,3904.3600
"Havells India Ltd",3272,"3,904.28","3,441.42",305.43,3904.2800
"Rajasthan Rajya Vidyut Utpadan Nigam Ltd",23579,"3,899.38","3,254.54",59.95,3899.3800
"Vardhman Textiles Ltd",932,"3,891.89","2,921.24",469.70,3891.8900
"Dabur India Ltd",3392,"3,872.01","3,205.00",463.24,3872.0100
"Small Industries Development Bank of India Ltd",12005,"3,866.86","3,003.72",513.84,3866.8600
"Fiat India Automobiles Ltd",18154,"3,849.97","3,459.96",-227.05,3849.9700
"Indian Railway Finance Corporation Ltd",12854,"3,841.66","2,942.97",485.20,3841.6600
"Allanasons Ltd",13330,"3,829.13","3,775.83",30.19,3829.1300
"Tata Communications Ltd",2295,"3,806.52","2,780.90",162.56,3806.5200
"Paradeep Phosphates Ltd",12375,"3,758.73","3,389.55",177.08,3758.7300
"Videocon International Ltd(merged)",1021,"3,739.62","3,074.50",133.29,3739.6200
"Philips Electronics India Ltd",432,"3,725.30","3,502.70",88.90,3725.3000
"Bharat Aluminium Company Ltd",12109,"3,715.23","2,808.15",440.86,3715.2300
"Aircel Ltd",15992,"3,709.98","3,334.24","-1,568.82",3709.9800
"Adani Enterprises Ltd",4244,"3,684.17","3,332.43",269.11,3684.1700
"Shree Cement Ltd",508,"3,681.85","2,720.38",209.70,3681.8500
"CEAT Ltd",104,"3,668.97","3,501.27",22.28,3668.9700
"JBF Industries Ltd",672,"3,652.58","3,224.49",131.42,3652.5800
"Essar Constructions India Ltd",15823,"3,635.74","3,225.12",88.39,3635.7400
"MphasiS Ltd",3361,"3,566.01","2,545.30",782.01,3566.0100
"Jindal Power Ltd",13360,"3,564.35",616.68,"2,001.60",3564.3500
"REI Agro Ltd",7620,"3,556.87","2,778.74",282.45,3556.8700
"India Cements Ltd",270,"3,554.06","3,078.44",68.10,3554.0600
"Punjab State Civil Supplies Corpn Ltd",25007,"3,541.20","3,106.69",-2.05,3541.2000
"Jaipur Vidyut Vitran Nigam Ltd",23580,"3,529.88","3,146.56",0.00,3529.8800
"Garden Silk Mills Ltd",1022,"3,508.49","3,208.09",87.86,3508.4900
"Cadbury India Ltd",244,"3,498.63","3,050.53",297.06,3498.6300
"GTL Ltd",2439,"3,496.43","2,742.63",142.18,3496.4300
"Siva Ventures Ltd",25501,"3,494.98",20.01,"3,171.68",3494.9800
"Dishnet Wireless Ltd",20655,"3,478.82","3,919.36","-1,535.10",3478.8200
"Shapoorji Pallonji & Co. Ltd",19321,"3,471.28","3,084.13",148.72,3471.2800
"Cotton Corporation Of India Ltd",12115,"3,419.47","3,332.70",-0.96,3419.4700
"Reliance Money Express Ltd",29519,"3,419.24","3,395.79",9.11,3419.2400
"Shakti Bhog Foods Ltd",24378,"3,380.25","3,081.16",116.52,3380.2500
"Nirma Ltd",3480,"3,330.32","2,858.63",74.04,3330.3200
"Escorts Ltd",161,"3,329.13","3,120.02",120.09,3329.1300
"Mazagon Dock Ltd",12963,"3,304.18","2,918.03",243.52,3304.1800
"Whirlpool of India Ltd",328,"3,299.68","3,010.28",166.03,3299.6800
"Sun Pharmaceuticals Industries Ltd",4325,"3,297.47","1,778.63","1,383.80",3297.4700
"United Phosphorus Ltd",2461,"3,293.52","2,675.07",157.50,3293.5200
"Ircon International Ltd",5497,"3,261.82","2,809.51",240.51,3261.8200
"National Buildings Construction Corporation Ltd",13166,"3,230.95","3,013.79",140.34,3230.9500
"BASF India Ltd",59,"3,198.64","2,992.39",117.83,3198.6400
"Castrol India Ltd",292,"3,193.50","2,450.69",481.03,3193.5000
"Matrix Laboratories Ltd",4596,"3,165.53","2,441.95",465.72,3165.5300
"Tata Teleservices (Maharashtra) Ltd",21214,"3,155.89","2,001.49",49.90,3155.8900
"SRF Ltd",513,"3,150.42","2,237.31",483.44,3150.4200
"Viraj Profiles Ltd",25082,"3,130.20","2,713.83",217.32,3130.2000
"PSL Ltd",4702,"3,128.62","2,715.27",75.71,3128.6200
"Johnson & Johnson Ltd",5470,"3,126.03","2,846.01",176.68,3126.0300
"Nagarjuna Fertilizers & Chemicals Ltd (Merged)",2089,"3,111.80","2,676.38",117.35,3111.8000
"Amrapali Industries Ltd",3423,"3,109.81","3,107.29",0.53,3109.8100
"United Breweries Ltd",23220,"3,093.49","2,658.63",147.29,3093.4900
"Tata Projects Ltd",5671,"3,086.51","2,783.08",179.51,3086.5100
"Blue Star Ltd",82,"3,071.10","2,788.06",155.00,3071.1000
"IFCI Ltd",3148,"3,064.01","2,094.60",663.62,3064.0100
"Tube Investments of India Ltd",573,"3,060.01","2,689.19",169.66,3060.0100
"Uttar Haryana Bijli Vitran Nigam Ltd",23257,"3,055.85","3,167.13",-297.65,3055.8500
"General Motors India Ltd",6272,"3,041.74","3,083.64",-209.55,3041.7400
"Bharat Forge Ltd",69,"3,029.37","2,267.30",310.57,3029.3700
"Gujarat Narmada Valley Fertilisers Company Ltd",213,"3,029.03","2,506.26",266.53,3029.0300
"Indo Rama Synthetics (India) Ltd",1220,"3,016.66","2,762.85",31.96,3016.6600
"Bharti Hexacom Ltd",15330,"3,014.78","2,029.72",507.47,3014.7800
"Cadila Healthcare Ltd",20883,"3,013.10","2,247.20",610.40,3013.1000
"BEML Ltd",2294,"2,998.29","2,710.61",149.76,2998.2900
"Indiabulls Financial Services Ltd",24955,"2,990.02","2,049.74",723.79,2990.0200
"Engineers India Ltd",12029,"2,983.65","2,180.18",522.52,2983.6500
"BILT Graphic Paper Products Ltd",28186,"2,980.72","2,397.79",194.87,2980.7200
"Motherson Sumi Systems Ltd",2966,"2,966.62","2,457.32",287.48,2966.6200
"SpiceJet Ltd",3367,"2,960.60","2,814.60",101.15,2960.6000
"Varun Industries Ltd",26881,"2,960.35","2,790.62",39.34,2960.3500
"Kalpataru Power Transmission Ltd",4518,"2,897.36","2,477.28",190.59,2897.3600
"GlaxoSmithkline Consumer Healthcare Ltd",231,"2,894.26","2,304.55",355.21,2894.2600
"S.Kumars Nationwide Ltd",3187,"2,879.23","2,289.22",172.70,2879.2300
"Arvind Ltd",29,"2,834.96","2,373.77",134.80,2834.9600
"Bajaj Electricals Ltd",51,"2,829.05","2,563.48",143.79,2829.0500
"Mukand Ltd",392,"2,827.69","2,464.35",46.66,2827.6900
"Dhampur Sugar Mills Ltd",2626,"2,820.12","2,586.29",8.68,2820.1200
"Kansai Nerolac Paints Ltd",200,"2,816.75","2,455.18",215.89,2816.7500
"Viom Networks Ltd",28141,"2,807.15","1,542.37",-212.36,2807.1500
"Jindal Poly Films Ltd",4162,"2,807.00","1,827.76",592.66,2807.0000
"Electrotherm (India) Ltd",4169,"2,794.16","2,452.94",28.83,2794.1600
"Vodafone Essar Mobile Services Ltd",20067,"2,775.49","2,111.14",211.15,2775.4900
"Indo Gulf Corporation Ltd (Merged)",911,"2,772.64","2,140.95",296.24,2772.6400
"Apar Industries Ltd",2035,"2,761.47","2,539.77",105.85,2761.4700
"Ramky Infrastructure Ltd",28591,"2,723.32","2,423.46",157.36,2723.3200
"Brakes India Ltd",12312,"2,702.13","2,395.10",170.48,2702.1300
"Usha Martin Ltd",1076,"2,692.30","2,188.25",99.53,2692.3000
"Spanco Ltd",1971,"2,685.21","2,298.36",105.14,2685.2100
"Sintex Industries Ltd",72,"2,670.62","2,015.86",357.56,2670.6200
"Madras Cements Ltd",357,"2,663.92","2,006.00",210.98,2663.9200
"Ushdev International Ltd",4689,"2,649.76","2,506.32",41.35,2649.7600
"Karnataka Power Corporation Ltd",12054,"2,621.74","1,845.70",239.46,2621.7400
"Patel Engineering Ltd",1320,"2,617.73","2,182.32",102.21,2617.7300
"National Steel & Agro Industries Ltd",992,"2,615.63","2,474.50",32.24,2615.6300
"Glaxosmithkline Pharma Ltd",195,"2,593.33","1,973.53",430.60,2593.3300
"Fertilizers & Chemicals Travancore Ltd",2301,"2,573.35","2,435.16",-49.33,2573.3500
"Trident Ltd",2970,"2,573.10","2,156.98",67.08,2573.1000
"Godrej Consumer Products Ltd",21960,"2,539.58","1,971.91",434.95,2539.5800
"Marico Ltd",12585,"2,525.49","2,093.40",315.32,2525.4900
"West Bengal Power Devp. Corpn. Ltd",12581,"2,519.27",334.04,22.60,2519.2700
"Mangalore Chemicals & Fertilizers Ltd",368,"2,518.39","2,359.33",77.54,2518.3900
"Ispat Mettallics India Ltd(merged)",7247,"2,512.97","2,620.76",-483.44,2512.9700
"Vodafone Essar Gujarat Ltd",24048,"2,505.66","1,630.70",393.91,2505.6600
"Supreme Industries Ltd",541,"2,503.79","2,135.48",174.97,2503.7900
"Oracle Financial Services Software Ltd",13105,"2,500.81","1,432.56",967.98,2500.8100
"SKF India Ltd",37,"2,499.95","2,146.86",208.49,2499.9500
"Bombay Rayon Fashions Ltd",25777,"2,483.99","1,919.63",226.70,2483.9900
"Gujarat Gas Company Ltd",2255,"2,470.44","2,020.78",273.88,2470.4400
"STCL Ltd",16577,"2,464.20","2,414.10",28.85,2464.2000
"Telco Construction Equipment Company Ltd",20695,"2,458.73","2,259.01",95.20,2458.7300
"Pidilite Industries Ltd",3219,"2,454.15","1,982.09",303.89,2454.1500
"ISGEC Heavy Engineering  Ltd",2167,"2,448.59","2,273.38",75.12,2448.5900
"J K Cements Ltd",17136,"2,427.39","2,116.40",64.05,2427.3900
"Suguna Poultry Farm Ltd",24986,"2,423.30","2,300.05",21.60,2423.3000
"Jyoti Structures Ltd",1196,"2,392.24","2,067.85",110.91,2392.2400
"Uflex Ltd",1474,"2,389.58","1,759.32",282.02,2389.5800
"Tulip Telecom Ltd",16012,"2,381.22","1,715.78",309.54,2381.2200
"Essel Mining & Industries Ltd",20185,"2,377.90","1,192.28",688.79,2377.9000
"Birla Corporation Ltd",77,"2,372.69","1,894.13",239.21,2372.6900
"Colgate-Palmolive (India) Ltd",118,"2,357.21","1,799.73",402.58,2357.2100
"Larsen & Toubro Infotech Ltd",18105,"2,354.90","1,920.52",312.92,2354.9000
"Apollo Hospitals Enterprise Ltd",636,"2,353.33","1,955.02",181.72,2353.3300
