,Cname,Name,Party,State,designation,dir_name
40,Omax Autos Ltd,"selja, kumari",INC,Haryana,Company Secretary,sanjeev kumar
41,Piramal Glass Ltd,"nathwani, shri parimal",IND.,Jharkhand,Director,swati a piramal
42,Kirloskar Electric Company Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director,anil kumar bhandari
43,Kohinoor Foods Ltd,"jugul kishore, shri",BSP,Uttar Pradesh,Chairman,jugal kishore arora
44,North Eastern Electric Power Corporation Ltd,"bhattacharya, shri p.",INC,West Bengal,Director (Technical),n bhattacharya
45,BLB Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Executive Director,satish kumar sharma
46,Iris Computers Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Chairman & Managing Director,sanjiv krishan
47,Divis Laboratories Ltd,"patil, smt. rajani",INC,Maharashtra,Company Secretary,p v lakshmi rajani
48,Meghmani Organics Ltd,"akhtar, shri javed",NOM.,Nominated,Director,akhtar shaik
49,Orient Craft Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Additional Director,ajit kumar sahay
50,Hanung Toys and Textiles Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani kumar singla
51,Parsvnath Developers Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Managing Director & CEO,sanjeev kumar jain
52,NIIT Technologies Ltd,"ashwani kumar, shri",INC,Punjab,Additional Director,ashwani puri
53,Dharampal Satyapal Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Vice Chairman & M.D.,rajiv kumar
54,Dharampal Satyapal Ltd,"selja, kumari",INC,Haryana,Whole-time Director,rajesh kumar
55,National Agricultural Co-Op Mktg Fedn of India,"sanjiv kumar, shri",JMM,Jharkhand,Chairman,ajit kumar singh
56,Rohit Ferro Tech Ltd,"sen, shri tapan kumar",CPI(M),West Bengal,Chairman,suresh kumar patni
57,Rohit Ferro Tech Ltd,"sen, shri tapan kumar",CPI(M),West Bengal,Chairman,suresh kumar patni
58,L T Foods Ltd,"ashwani kumar, shri",INC,Punjab,Joint Managing Director & CEO,ashwani kumar arora
59,Ankit Metal & Power Ltd,"sen, shri tapan kumar",CPI(M),West Bengal,Chairman,suresh kumar patni
60,MBL Infrastructures Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwini kumar singh
61,J Kumar Infraprojects Ltd,"ashwani kumar, shri",INC,Punjab,Additional Director,ashwani kumar
62,D B Corp Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani kumar b singhal
