,Sno_df1,Candidate_df1,Constituency _df1,Party_df1,Criminal Case_df1,Education_df1,Total Assets_df1,Liabilities_df1,id_df2,name_df2,person_name_df2,designation_df2
108,430,madhusudan mistry,Sabarkantha,INC,0,Post Graduate,"Rs 18,26,173
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+",20793,Lafarge India Ltd,madhusudan mishra,Company Secretary
109,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",751,McNally Bharat Engineering Company Ltd,virendra kumar verma,Director
110,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",5772,JK Paper Ltd,dhirendra kumar,Director
111,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",23244,ISMT Ltd,virendra kapoor,Director
112,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",28472,ACME Tele Power Ltd,virendra kumar maurya,Director
113,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",25093,Dharampal Satyapal Ltd,ravinder kumar,Chairman
114,444,meira kumar,Sasaram,INC,0,Post Graduate,"Rs 2,89,56,730
~ 2 Crore+","Rs 36,00,000
~ 36 Lacs+",27313,Parabolic Drugs Ltd,ram kumar,Director
115,455,sitaram singh,Sheohar,RJD,0,Graduate,"Rs 46,24,000
~ 46 Lacs+","Rs 0
~",2966,Motherson Sumi Systems Ltd,amarjit singh,Director
116,455,sitaram singh,Sheohar,RJD,0,Graduate,"Rs 46,24,000
~ 46 Lacs+","Rs 0
~",12068,Power Finance Corporation Ltd,satnam singh,Chairman & Managing Director
117,468,rajesh verma,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000
~ 48 Lacs+","Rs 10,04,319
~ 10 Lacs+",13869,THDC India Ltd,rajesh verma,Nominee (Govt)
118,468,rajesh verma,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000
~ 48 Lacs+","Rs 10,04,319
~ 10 Lacs+",18075,Rural Electrification Corporation Ltd,rajeev sharma,Chairman & Managing Director
119,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",976,Su-Raj Diamonds & Jewellery Ltd,r ravichandran,Director (Operation)
120,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",15853,Gujarat State Petroleum Corporation Ltd,n ravichandran,Director
121,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",21241,National Stock Exchange Of India Ltd,j ravichandran,Director & Company Secretary
122,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",4301,TTK Prestige Ltd,s ravichandran,Managing Director
123,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",23050,Pipavav Defence & Offshore Engineering Company Ltd,n ravichandran,Alternate Director
124,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",247,Hindustan Motors Ltd,vijay kumar sharma,Nominee (LIC)
125,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",1850,Ruchi Strips & Alloys Ltd,vijay kumar mahajan,Director
126,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",27387,L T Foods Ltd,vijay kumar arora,Chairman & Managing Director
127,481,rattan singh,Tarn Taran,SAD,1,Graduate Professional,"Rs 2,95,16,341
~ 2 Crore+","Rs 0
~",24955,Indiabulls Financial Services Ltd,karan singh,Director
128,508,shivraj singh,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600
~ 58 Lacs+","Rs 2,87,640
~ 2 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
129,508,shivraj singh,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600
~ 58 Lacs+","Rs 2,87,640
~ 2 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
