Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
504,VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,0,Graduate,"Rs 1,55,90,109
~ 1 Crore+","Rs 4,00,000
~ 4 Lacs+"
505,VINAY KUMAR ALIAS VINNU,Shrawasti,INC,4,Doctorate,"Rs 1,57,43,200
~ 1 Crore+","Rs 5,89,157
~ 5 Lacs+"
506,VINCENT H PALA,Shillong,INC,0,Graduate Professional,"Rs 25,16,18,190
~ 25 Crore+","Rs 0
~"
507,VIRBHADRA SINGH,Mandi,INC,0,Post Graduate,"Rs 22,52,28,748
~ 22 Crore+","Rs 6,28,864
~ 6 Lacs+"
508,VIRENDER KASHYAP,Shimla,BJP,0,Post Graduate,"Rs 34,34,928
~ 34 Lacs+","Rs 0
~"
509,VIRENDRA KUMAR,Tikamgarh,BJP,0,Doctorate,"Rs 25,51,466
~ 25 Lacs+","Rs 0
~"
510,Vishu Deo Sai,Raigarh,BJP,0,10th Pass,"Rs 23,02,000
~ 23 Lacs+","Rs 0
~"
511,VISHWA MOHAN KUMAR,Supaul,JD(U),0,Post Graduate,"Rs 66,89,616
~ 66 Lacs+","Rs 4,40,179
~ 4 Lacs+"
512,VISWANATHAN.P,Kancheepuram,INC,0,Graduate,"Rs 56,85,495
~ 56 Lacs+","Rs 22,46,494
~ 22 Lacs+"
513,VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC,16,Graduate,"Rs 2,06,75,722
~ 2 Crore+","Rs 0
~"
514,WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,0,Post Graduate,"Rs 1,78,60,515
~ 1 Crore+","Rs 24,27,069
~ 24 Lacs+"
515,WASNIK MUKUL BALKRISHNA,Ramtek,INC,1,Post Graduate,"Rs 31,11,932
~ 31 Lacs+","Rs 0
~"
516,Y.S. Jagan Mohan Reddy,Kadapa,INC,0,Graduate,"Rs 72,81,51,658
~ 72 Crore+","Rs 6,63,96,966
~ 6 Crore+"
517,Yashbanta Narayan Singh Laguri,Keonjhar,BJD,6,Graduate,"Rs 5,75,000
~ 5 Lacs+","Rs 1,50,00,000
~ 1 Crore+"
518,YASHVIR SINGH,Nagina,SP,1,12th Pass,"Rs 7,84,562
~ 7 Lacs+","Rs 0
~"
519,YASHWANT SINHA,Hazaribagh,BJP,1,Post Graduate,"Rs 3,65,76,217
~ 3 Crore+","Rs 0
~"
520,ZAFAR ALI NAQVI,Kheri,INC,0,Graduate Professional,"Rs 39,79,881
~ 39 Lacs+","Rs 0
~"
