Sno,Candidate,Constituency ,Party,Criminal Case,Education,Total Assets,Liabilities
187,ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD,3,Graduate,"Rs 52,34,219
~ 52 Lacs+","Rs 4,43,268
~ 4 Lacs+"
188,ADITYA NATH,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672
~ 9 Lacs+","Rs 0
~"
189,IQBAL AHMED SARADGI,Gulbarga,INC,0,Graduate Professional,"Rs 1,14,51,875
~ 1 Crore+","Rs 0
~"
190,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,"Rs 3,58,27,904
~ 3 Crore+","Rs 0
~"
191,RAYAPATI SAMBASIVA RAO,Guntur,INC,0,Not Given,"Rs 4,81,98,297
~ 4 Crore+","Rs 98,89,900
~ 98 Lacs+"
192,VINOD KHANNA,Gurdaspur,BJP,0,Graduate,"Rs 8,10,81,889
~ 8 Crore+","Rs 12,36,000
~ 12 Lacs+"
193,RAMSEVAK SINGH ( BABUJI),Gwalior,INC,0,5th Pass,"Rs 54,43,950
~ 54 Lacs+","Rs 0
~"
194,RAM VILAS PASWAN,Hajipur,LJNSP,0,Post Graduate,"Rs 83,32,433
~ 83 Lacs+","Rs 0
~"
195,SURESH CHANDEL,Hamirpur,BJP,0,Post Graduate,"Rs 64,26,759
~ 64 Lacs+","Rs 10,69,724
~ 10 Lacs+"
196,RAJNARAYAN ALIAS RAJJU MAHRAJ,Hamirpur,SP,0,Graduate Professional,"Rs 26,40,727
~ 26 Lacs+","Rs 3,87,411
~ 3 Lacs+"
197,B.VINOD KUMAR,Hanamkonda,TRS,0,Graduate,"Rs 1,00,11,716
~ 1 Crore+","Rs 0
~"
198,SURENDRA PRAKASH GOYAL,Hapur,INC,1,8th Pass,"Rs 61,64,616
~ 61 Lacs+","Rs 0
~"
199,USHA VERMA,Hardoi,SP,0,Post Graduate,"Rs 9,76,000
~ 9 Lacs+","Rs 2,00,000
~ 2 Lacs+"
200,RAJENDRA KUMAR,Hardwar,SP,0,8th Pass,"Rs 23,94,512
~ 23 Lacs+","Rs 0
~"
201,H. D. DEVEGOWDA,Hassan,JD(S),0,Others,"Rs 1,14,39,574
~ 1 Crore+","Rs 35,82,261
~ 35 Lacs+"
202,KISHAN LAL DILER,Hathras,BJP,0,Not Given,"Rs 20,89,121
~ 20 Lacs+","Rs 0
~"
203,BHUBNESHWAR PRASAD MEHTA,Hazaribagh,CPI,1,12th Pass,"Rs 9,70,342
~ 9 Lacs+","Rs 2,50,000
~ 2 Lacs+"
204,NIZAMODDIN,Hindupur,INC,0,Graduate,"Rs 14,05,000
~ 14 Lacs+","Rs 2,00,779
~ 2 Lacs+"
205,SURYAKANTA PATIL,Hingoli,NCP,2,Graduate,"Rs 1,53,07,225
~ 1 Crore+","Rs 2,72,088
~ 2 Lacs+"
206,JAI PARKASH,Hissar,INC,5,12th Pass,"Rs 45,68,812
~ 45 Lacs+","Rs 2,45,760
~ 2 Lacs+"
207,Rupchand Pal,Hooghly,CPM,0,Post Graduate,"Rs 8,93,720
~ 8 Lacs+","Rs 4,35,000
~ 4 Lacs+"
208,SARTAJ SINGH,Hoshangabad,BJP,0,Graduate,"Rs 1,48,78,898
~ 1 Crore+","Rs 6,54,724
~ 6 Lacs+"
209,AVINASH RAI KHANNA,Hoshiarpur,BJP,0,Graduate Professional,"Rs 16,23,665
~ 16 Lacs+","Rs 0
~"
210,Swadesh Chakrabortty,Howrah,CPM,0,Graduate,"Rs 15,45,667
~ 15 Lacs+","Rs 0
~"
211,ASADUDDIN OWAISI,Hyderabad,AIMIM,3,Graduate Professional,"Rs 39,02,342
~ 39 Lacs+","Rs 0
~"
212,MANE NIVEDITA SAMBHAJIRAO,Ichalkaranji,NCP,0,Graduate,"Rs 79,13,845
~ 79 Lacs+","Rs 3,87,564
~ 3 Lacs+"
213,K. FRANCIS GEORGE,Idukki,KEC,1,Graduate Professional,"Rs 1,14,17,962
~ 1 Crore+","Rs 78,919
~ 78 Thou+"
214,SUMITRA MAHAJAN,Indore,BJP,0,Post Graduate,"Rs 44,22,500
~ 44 Lacs+","Rs 12,50,000
~ 12 Lacs+"
215,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rs 11,07,278
~ 11 Lacs+","Rs 80,660
~ 80 Thou+"
216,RAKESH SINGH,Jabalpur,BJP,0,Graduate,"Rs 63,27,291
~ 63 Lacs+","Rs 0
~"
217,Sujan Chakraborty,Jadavpur,CPM,0,Doctorate,"Rs 10,46,232
~ 10 Lacs+","Rs 0
~"
218,BRAHMANANDA PANDA,Jagatsinghpur,BJD,0,Post Graduate,"Rs 59,82,315
~ 59 Lacs+","Rs 53,760
~ 53 Thou+"
219,GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,"Rs 89,90,298
~ 89 Lacs+","Rs 2,94,350
~ 2 Lacs+"
220,GIRDHARI LAL BHARGAVA,Jaipur,BJP,0,Graduate Professional,"Rs 1,42,48,322
~ 1 Crore+","Rs 1,96,196
~ 1 Lacs+"
221,MOHAN JENA,Jajpur,BJD,0,Post Graduate,"Rs 8,70,000
~ 8 Lacs+","Rs 22,568
~ 22 Thou+"
222,BHANU PRATAP SINGH VERMA,Jalaun,BJP,1,Post Graduate,"Rs 4,46,550
~ 4 Lacs+","Rs 1,14,460
~ 1 Lacs+"
223,PRO. S.P SINGH BAGHEL,Jalesar,SP,1,Post Graduate,"Rs 56,23,000
~ 56 Lacs+","Rs 7,87,357
~ 7 Lacs+"
224,Y. G. MAHAJAN (SIR),Jalgaon,BJP,1,Post Graduate,"Rs 67,19,861
~ 67 Lacs+","Rs 0
~"
225,DANVE RAOSAHEB DADARAO PATIL,Jalna,BJP,0,12th Pass,"Rs 96,81,004
~ 96 Lacs+","Rs 7,15,955
~ 7 Lacs+"
226,B. SUSHEELA,Jalore,BJP,0,Post Graduate,"Rs 96,29,204
~ 96 Lacs+","Rs 9,04,335
~ 9 Lacs+"
227,Minati Sen,Jalpaiguri,CPM,0,Graduate Professional,"Rs 17,11,703
~ 17 Lacs+","Rs 47,377
~ 47 Thou+"
228,MADAN LAL SHARMA,Jammu,INC,0,10th Pass,"Rs 62,17,000
~ 62 Lacs+","Rs 1,49,750
~ 1 Lacs+"
229,AHIR VIKRAMBHAI,Jamnagar,INC,0,Graduate,"Rs 48,37,028
~ 48 Lacs+","Rs 5,74,600
~ 5 Lacs+"
230,SUNIL KUMAR MAHATO,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~"
231,Pranab Mukherjee,Jangipur,INC,0,Doctorate,"Rs 1,52,04,925
~ 1 Crore+","Rs 2,17,267
~ 2 Lacs+"
232,PARASNATH YADAVA,Jaunpur,SP,0,12th Pass,"Rs 29,41,300
~ 29 Lacs+","Rs 0
~"
233,KANTILAL BHURIA,Jhabua,INC,0,Post Graduate,"Rs 1,40,41,825
~ 1 Crore+","Rs 0
~"
234,DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,"Rs 70,82,067
~ 70 Lacs+","Rs 0
~"
235,DEVENDRA PRASAD YADAV,Jhanjharpur,RJD,0,Graduate,"Rs 11,37,321
~ 11 Lacs+","Rs 2,45,123
~ 2 Lacs+"
236,CHANDRAPAL SINGH YADAV,Jhansi,SP,1,Post Graduate,"Rs 53,07,820
~ 53 Lacs+","Rs 0
~"
237,Rupchand Murmu,Jhargram,CPM,1,12th Pass,"Rs 10,41,089
~ 10 Lacs+","Rs 1,01,870
~ 1 Lacs+"
238,SHISH RAM OLA,Jhunjhunu,INC,0,10th Pass,"Rs 47,71,614
~ 47 Lacs+","Rs 9,84,980
~ 9 Lacs+"
239,JASWANT SINGH BISHNOI,Jodhpur,BJP,0,Graduate Professional,"Rs 69,93,029
~ 69 Lacs+","Rs 4,89,166
~ 4 Lacs+"
240,BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,"Rs 13,56,192
~ 13 Lacs+","Rs 0
~"
241,Sanat Kumar Mandal,Joynagar,RSP,0,Graduate Professional,"Rs 21,89,190
~ 21 Lacs+","Rs 0
~"
242,RANA GURJEET SINGH,Jullundur,INC,0,10th Pass,"Rs 20,58,28,008
~ 20 Crore+","Rs 25,00,000
~ 25 Lacs+"
243,BARAD JASUBHAI DHANABHAI,Junagadh,INC,2,Graduate,"Rs 1,84,57,408
~ 1 Crore+","Rs 0
~"
244,DINSHA PATEL,Kaira,INC,0,10th Pass,"Rs 57,27,475
~ 57 Lacs+","Rs 30,83,830
~ 30 Lacs+"
245,ANURADHA CHOUDHARY,Kairana,RLD,0,Graduate,"Rs 4,39,04,200
~ 4 Crore+","Rs 0
~"
246,BENI PRASAD VERMA,Kaiserganj,SP,0,Graduate Professional,"Rs 41,12,560
~ 41 Lacs+","Rs 0
~"
247,BIKRAM KESHARI DEO,Kalahandi,BJP,0,Graduate,"Rs 32,37,000
~ 32 Lacs+","Rs 10,823
~ 10 Thou+"
248,DIP GOGOI,Kaliabor,INC,0,Graduate,"Rs 3,42,751
~ 3 Lacs+","Rs 0
~"
249,TEJASHWINI SEE RAMESH,Kanakapura,INC,0,Post Graduate,"Rs 11,60,000
~ 11 Lacs+","Rs 0
~"
250,ANANTHKUMAR HEGDE,Kanara,BJP,3,12th Pass,"Rs 12,06,000
~ 12 Lacs+","Rs 1,34,01,653
~ 1 Crore+"
251,CHANDER KUMAR,Kangra,INC,0,Post Graduate,"Rs 73,04,760
~ 73 Lacs+","Rs 19,16,918
~ 19 Lacs+"
252,SOHAN POTAI,Kanker,BJP,0,Post Graduate,"Rs 21,13,856
~ 21 Lacs+","Rs 71,932
~ 71 Thou+"
253,AKHILESH YADAV,Kannauj,SP,0,Post Graduate,"Rs 2,31,42,705
~ 2 Crore+","Rs 0
~"
254,SHRIPRAKASH JAISWAL,Kanpur,INC,0,10th Pass,"Rs 1,91,27,260
~ 1 Crore+","Rs 0
~"
255,VAGHELA SHANKERSINH LAXMANSINH,Kapadvanj,INC,0,Post Graduate,"Rs 70,04,174
~ 70 Lacs+","Rs 0
~"
256,PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,"Rs 1,24,94,141
~ 1 Crore+","Rs 0
~"
257,LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,"Rs 41,97,600
~ 41 Lacs+","Rs 2,40,000
~ 2 Lacs+"
258,K. CHANDRA SHAKHER RAO,Karimnagar,TRS,0,Graduate,"Rs 85,98,858
~ 85 Lacs+","Rs 25,59,507
~ 25 Lacs+"
259,ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,"Rs 57,36,332
~ 57 Lacs+","Rs 0
~"
260,KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,"Rs 64,15,254
~ 64 Lacs+","Rs 0
~"
261,"PALANISAMY, K. C.",Karur,DMK,0,5th Pass,"Rs 54,65,69,007
~ 54 Crore+","Rs 6,39,20,476
~ 6 Crore+"
262,P. KARUNAKARAN,Kasaragod,CPM,20,Post Graduate,"Rs 51,90,249
~ 51 Lacs+","Rs 10,330
~ 10 Thou+"
263,NIKHIL KUMAR CHOUDHARY,Katihar,BJP,1,Graduate,"Rs 45,35,938
~ 45 Lacs+","Rs 0
~"
264,Mahboob Zahedi,Katwa,CPM,0,10th Pass,"Rs 27,05,606
~ 27 Lacs+","Rs 3,32,383
~ 3 Lacs+"
265,ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,"Rs 3,84,400
~ 3 Lacs+","Rs 32,000
~ 32 Thou+"
266,ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,"Rs 8,18,420
~ 8 Lacs+","Rs 69,086
~ 69 Thou+"
267,RABINDRA KU. RANA,Khagaria,RJD,1,Graduate Professional,"Rs 63,36,271
~ 63 Lacs+","Rs 0
~"
268,DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,"Rs 51,83,173
~ 51 Lacs+","Rs 9,86,766
~ 9 Lacs+"
269,BHALCHANDRA YADAVA,Khalilabad,BSP,10,Graduate,"Rs 6,51,000
~ 6 Lacs+","Rs 2,60,630
~ 2 Lacs+"
270,RENUKA CHOWDHURY,Khammam,INC,1,Post Graduate,"Rs 13,69,12,161
~ 13 Crore+","Rs 3,00,414
~ 3 Lacs+"
271,NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,"Rs 45,10,192
~ 45 Lacs+","Rs 9,47,000
~ 9 Lacs+"
272,KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,"Rs 74,14,005
~ 74 Lacs+","Rs 88,719
~ 88 Thou+"
273,ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,"Rs 5,22,30,281
~ 5 Crore+","Rs 1,23,32,651
~ 1 Crore+"
274,RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,"Rs 29,16,963
~ 29 Lacs+","Rs 2,46,079
~ 2 Lacs+"
275,SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,"Rs 33,28,161
~ 33 Lacs+","Rs 0
~"
276,ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,"Rs 1,15,89,733
~ 1 Crore+","Rs 0
~"
277,TASLIMUDDIN,Kishanganj,RJD,9,Literate,"Rs 55,25,834
~ 55 Lacs+","Rs 10,12,986
~ 10 Lacs+"
278,BABULAL MARANDI,Kodarma,BJP,0,Graduate,"Rs 5,00,000
~ 5 Lacs+","Rs 4,60,000
~ 4 Lacs+"
279,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,"Rs 16,94,686
~ 16 Lacs+","Rs 0
~"
280,A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,"Rs 2,84,68,000
~ 2 Crore+","Rs 0
~"
281,K.H. MUNIYAPPA,Kolar,INC,0,Graduate,"Rs 61,87,039
~ 61 Lacs+","Rs 3,97,195
~ 3 Lacs+"
282,MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP,2,Graduate,"Rs 88,42,586
~ 88 Lacs+","Rs 9,86,985
~ 9 Lacs+"
283,E. V. ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,"Rs 3,69,37,860
~ 3 Crore+","Rs 7,64,653
~ 7 Lacs+"
284,K. VIRUPAXAPPA,Koppal,INC,0,10th Pass,"Rs 52,30,246
~ 52 Lacs+","Rs 10,46,888
~ 10 Lacs+"
285,GIRIDHAR GAMANG,Koraput,INC,0,Graduate,"Rs 4,59,812
~ 4 Lacs+","Rs 0
~"
286,RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,"Rs 57,34,998
~ 57 Lacs+","Rs 6,64,908
~ 6 Lacs+"
287,K. SURESH KURUP,Kottayam,CPM,0,Graduate Professional,"Rs 18,18,560
~ 18 Lacs+","Rs 9,93,202
~ 9 Lacs+"
288,Jyotirmoyee Sikdar,Krishnagar,CPM,0,12th Pass,"Rs 75,45,592
~ 75 Lacs+","Rs 10,36,080
~ 10 Lacs+"
289,SUGAVANAM. E. G,Krishnagiri,DMK,1,Others,"Rs 51,21,291
~ 51 Lacs+","Rs 19,91,138
~ 19 Lacs+"
290,KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,"Rs 1,59,41,801
~ 1 Crore+","Rs 6,81,000
~ 6 Lacs+"
291,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~"
292,GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,"Rs 97,30,221
~ 97 Lacs+","Rs 7,19,633
~ 7 Lacs+"
293,THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,"Rs 61,39,045
~ 61 Lacs+","Rs 2,30,415
~ 2 Lacs+"
294,DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,"Rs 14,67,028
~ 14 Lacs+","Rs 0
~"
295,DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,"Rs 39,45,099
~ 39 Lacs+","Rs 1,03,145
~ 1 Lacs+"
296,DAROGA PRASAD SAROJ,Lalganj,SP,1,Graduate,"Rs 6,14,485
~ 6 Lacs+","Rs 1,30,918
~ 1 Lacs+"
297,PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,"Rs 19,60,659
~ 19 Lacs+","Rs 55,85,583
~ 55 Lacs+"
298,RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,"Rs 92,38,423
~ 92 Lacs+","Rs 3,64,452
~ 3 Lacs+"
299,ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,"Rs 58,99,232
~ 58 Lacs+","Rs 0
~"
300,SHARANJIT SINGH DHILLON,Ludhiana,SAD,1,Graduate Professional,"Rs 98,42,137
~ 98 Lacs+","Rs 11,76,489
~ 11 Lacs+"
301,UMAKANT YADAV,Machhlishahr,BSP,8,Post Graduate,"Rs 2,84,62,566
~ 2 Crore+","Rs 0
~"
302,BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,"Rs 13,85,45,000
~ 13 Crore+","Rs 1,15,59,000
~ 1 Crore+"
303,LALU PRASAD,Madhepura,RJD,7,Graduate Professional,"Rs 87,68,340
~ 87 Lacs+","Rs 2,20,41,400
~ 2 Crore+"
304,DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,"Rs 18,59,000
~ 18 Lacs+","Rs 3,00,000
~ 3 Lacs+"
305,DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,"Rs 1,44,20,628
~ 1 Crore+","Rs 0
~"
306,KUPPUSAMI. C,Madras North,DMK,1,12th Pass,"Rs 95,37,668
~ 95 Lacs+","Rs 1,56,696
~ 1 Lacs+"
307,"BAALU, T. R.",Madras South,DMK,0,Graduate,"Rs 2,74,44,755
~ 2 Crore+","Rs 0
~"
308,D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,"Rs 6,50,75,830
~ 6 Crore+","Rs 30,00,000
~ 30 Lacs+"
309,PANKAJ,Maharajganj,BJP,0,12th Pass,"Rs 1,41,74,401
~ 1 Crore+","Rs 4,73,788
~ 4 Lacs+"
310,PRABHUNATH SINGH,Maharajganj,JD(U),11,12th Pass,"Rs 32,96,840
~ 32 Lacs+","Rs 5,30,175
~ 5 Lacs+"
311,AJIT JOGI,Mahasamund,INC,2,Graduate Professional,"Rs 88,35,009
~ 88 Lacs+","Rs 0
~"
312,INDERJIT SINGH,Mahendragarh,INC,0,Graduate Professional,"Rs 5,51,05,874
~ 5 Crore+","Rs 11,08,417
~ 11 Lacs+"
313,MULAYAM SINGH YADAV,Mainpuri,SP,2,Post Graduate,"Rs 1,15,41,224
~ 1 Crore+","Rs 41,235
~ 41 Thou+"
314,A. B. A. Ghani Khan Choudhury,Malda,INC,1,Graduate,"Rs 41,15,704
~ 41 Lacs+","Rs 41,87,744
~ 41 Lacs+"
315,HARISCHANDRA DEVRAM CHAVAN,Malegaon,BJP,0,Graduate,"Rs 33,12,291
~ 33 Lacs+","Rs 9,033
~ 9 Thou+"
316,PRATIBHA SINGH,Mandi,INC,0,Graduate,"Rs 23,02,88,018
~ 23 Crore+","Rs 15,42,808
~ 15 Lacs+"
317,FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,"Rs 30,91,035
~ 30 Lacs+","Rs 0
~"
318,DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,"Rs 26,50,506
~ 26 Lacs+","Rs 7,26,872
~ 7 Lacs+"
319,CHAUDHARY TUSHARBHAI AMARSINHBHAI,Mandvi,INC,0,Graduate Professional,"Rs 18,17,815
~ 18 Lacs+","Rs 4,00,372
~ 4 Lacs+"
320,AMBAREESH M. H.,Mandya,INC,0,Not Given,"Rs 73,94,819
~ 73 Lacs+","Rs 3,21,600
~ 3 Lacs+"
321,NARAYAN CHANDRA BORKATAKY,Mangaldoi,BJP,0,Graduate,"Rs 55,95,818
~ 55 Lacs+","Rs 3,01,647
~ 3 Lacs+"
322,D. V. SADANANDA GOWDA,Mangalore,BJP,0,Graduate Professional,"Rs 46,39,359
~ 46 Lacs+","Rs 9,68,423
~ 9 Lacs+"
323,T. K. HAMZA,Manjeri,CPM,0,Graduate Professional,"Rs 7,80,480
~ 7 Lacs+","Rs 4,34,704
~ 4 Lacs+"
324,MANVENDRA SINGH,Mathura,INC,0,12th Pass,"Rs 1,53,87,530
~ 1 Crore+","Rs 2,81,228
~ 2 Lacs+"
325,Basudeb Barman,Mathurapur,CPM,0,Post Graduate,"Rs 27,72,156
~ 27 Lacs+","Rs 0
~"
326,C. S. SUJATHA,Mavelikara,CPM,4,Graduate Professional,"Rs 6,69,613
~ 6 Lacs+","Rs 18,000
~ 18 Thou+"
327,MANI SHANKAR AIYAR,Mayiladuturai,INC,0,Post Graduate,"Rs 1,93,91,699
~ 1 Crore+","Rs 3,80,411
~ 3 Lacs+"
328,SUDAM MARNDI,Mayurbhanj,JMM,4,12th Pass,"Rs 17,80,596
~ 17 Lacs+","Rs 0
~"
329,A. NARENDRA,Medak,TRS,0,Graduate,"Rs 20,20,000
~ 20 Lacs+","Rs 5,00,000
~ 5 Lacs+"
330,MOHD. SHAHID,Meerut,BSP,0,5th Pass,"Rs 1,52,20,720
~ 1 Crore+","Rs 1,21,146
~ 1 Lacs+"
331,JIVABHAI AMBALAL PATEL,Mehsana,INC,0,10th Pass,"Rs 3,46,02,412
~ 3 Crore+","Rs 0
~"
332,Prabodh Panda,Midnapore,CPI,0,Graduate,"Rs 12,97,328
~ 12 Lacs+","Rs 0
~"
333,JAIPAL REDDY SUDINI,Miryalguda,INC,0,Post Graduate,"Rs 1,22,64,007
~ 1 Crore+","Rs 15,46,865
~ 15 Lacs+"
334,NARENDRA KUMAR KUSHWAHA,Mirzapur,BSP,0,12th Pass,"Rs 7,099
~ 7 Thou+","Rs 0
~"
335,ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+"
336,VANLALZAWMA,Mizoram,MNF,0,Post Graduate,"Rs 21,27,713
~ 21 Lacs+","Rs 0
~"
337,JAI PRAKASH,Mohanlalganj,SP,0,Graduate,"Rs 1,65,83,667
~ 1 Crore+","Rs 18,83,335
~ 18 Lacs+"
338,JAY PRAKASH NARAYAN YADAV,Monghyr,RJD,1,Post Graduate,"Rs 18,80,178
~ 18 Lacs+","Rs 1,72,602
~ 1 Lacs+"
339,DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,"Rs 13,49,151
~ 13 Lacs+","Rs 0
~"
340,ASHOK CHHAVIRAM ARGAL,Morena,BJP,2,12th Pass,"Rs 32,20,504
~ 32 Lacs+","Rs 4,32,625
~ 4 Lacs+"
341,ALEMAO CHURCHIL BRAZ,Mormugao,INC,1,12th Pass,"Rs 86,75,904
~ 86 Lacs+","Rs 81,72,004
~ 81 Lacs+"
342,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,"Rs 36,69,358
~ 36 Lacs+","Rs 0
~"
343,LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,"Rs 19,30,115
~ 19 Lacs+","Rs 0
~"
344,GOVINDA,Mumbai North,INC,1,Graduate,"Rs 14,52,98,405
~ 14 Crore+","Rs 2,50,00,000
~ 2 Crore+"
345,EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,"Rs 20,45,861
~ 20 Lacs+","Rs 0
~"
346,KAMAT GURUDAS,Mumbai North East,INC,0,Graduate Professional,"Rs 3,38,94,725
~ 3 Crore+","Rs 0
~"
347,SUNIL DUTT,Mumbai North West,INC,1,Graduate,"Rs 20,43,21,510
~ 20 Crore+","Rs 0
~"
348,MOHAN RAWALE,Mumbai South Central,SHS,4,10th Pass,"Rs 55,89,646
~ 55 Lacs+","Rs 1,45,918
~ 1 Lacs+"
349,P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,"Rs 63,92,358
~ 63 Lacs+","Rs 12,32,410
~ 12 Lacs+"
350,CH. MUNAWWAR HASAN,Muzaffarnagar,SP,1,10th Pass,"Rs 42,17,051
~ 42 Lacs+","Rs 0
~"
351,GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,"Rs 3,39,87,410
~ 3 Crore+","Rs 0
~"
352,C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,"Rs 2,63,999
~ 2 Lacs+","Rs 21,750
~ 21 Thou+"
353,Alakesh Das,Nabadwip,CPM,0,Post Graduate,"Rs 2,78,876
~ 2 Lacs+","Rs 18,382
~ 18 Thou+"
354,W. WANGYUH,Nagaland,NPF,0,Post Graduate,"Rs 21,47,000
~ 21 Lacs+","Rs 0
~"
355,"VIJAYAN, A. K. S.",Nagapattinam,DMK,0,12th Pass,"Rs 31,91,000
~ 31 Lacs+","Rs 10,13,614
~ 10 Lacs+"
356,DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,"Rs 65,45,314
~ 65 Lacs+","Rs 23,39,000
~ 23 Lacs+"
357,BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,"Rs 13,03,714
~ 13 Lacs+","Rs 0
~"
358,BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,"Rs 30,76,650
~ 30 Lacs+","Rs 0
~"
359,VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,"Rs 1,00,20,540
~ 1 Crore+","Rs 28,98,977
~ 28 Lacs+"
360,K. C. SINGH BABA,Nainital,INC,0,12th Pass,"Rs 2,37,08,052
~ 2 Crore+","Rs 29,06,552
~ 29 Lacs+"
361,NITISH KUMAR,Nalanda,JD(U),0,Graduate,"Rs 43,89,206
~ 43 Lacs+","Rs 6,72,674
~ 6 Lacs+"
362,SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI,1,Graduate Professional,"Rs 19,90,000
~ 19 Lacs+","Rs 9,62,600
~ 9 Lacs+"
363,S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,"Rs 6,46,46,900
~ 6 Crore+","Rs 1,33,74,000
~ 1 Crore+"
364,MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,"Rs 6,39,61,169
~ 6 Crore+","Rs 0
~"
365,PINGALE DEVIDAS ANANDRAO,Nashik,NCP,1,10th Pass,"Rs 1,97,57,718
~ 1 Crore+","Rs 56,07,433
~ 56 Lacs+"
366,VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,"Rs 17,97,522
~ 17 Lacs+","Rs 1,35,728
~ 1 Lacs+"
367,PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,"Rs 53,95,726
~ 53 Lacs+","Rs 0
~"
368,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 3,02,34,158
~ 3 Crore+","Rs 6,50,000
~ 6 Lacs+"
369,PRABHU R.,Nilgiris,INC,0,Post Graduate,"Rs 10,24,40,054
~ 10 Crore+","Rs 0
~"
370,MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,"Rs 14,27,18,537
~ 14 Crore+","Rs 3,25,60,000
~ 3 Crore+"
371,RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,"Rs 36,79,236
~ 36 Lacs+","Rs 3,36,600
~ 3 Lacs+"
372,PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,"Rs 7,67,000
~ 7 Lacs+","Rs 25,000
~ 25 Thou+"
373,SREENIVASULU REDDY MAGUNTA,Ongole,INC,2,Graduate,"Rs 14,17,68,943
~ 14 Crore+","Rs 0
~"
